artist,spotify_url,day,genre,note,songs,song_count,original_songs,review_status,review_notes,sources,related_artists,spotify_image_url,spotify_image_source,spotify_image_note,spotify_top5_tracks,spotify_top5_source,spotify_top5_note
Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,Friday,Pop,"Headliner. Short n' Sweet + Man's Best Friend tour. Visuals, choreo, iconic outros.",Taste|Good Graces|Manchild|Slim Pickins|Tornado Warnings|Lie to Girls|decode|Bed Chem|Feather|Fast Times|Busy Woman|Sharpest Tool|Opposite|Because I Liked a Boy|Coincidence|House Tour|Nonsense|Dumb & Poetic|Juno|Please Please Please|Tears|Don't Smile|Espresso,23,Taste|Good Graces|Manchild|Slim Pickins|Tornado Warnings|Lie to Girls|decode|Bed Chem|Feather|Fast Times|Busy Woman|Sharpest Tool|Opposite|Because I Liked a Boy|Coincidence|House Tour|Nonsense|Dumb & Poetic|Juno|Please Please Please|Tears|Don't Smile|Espresso,,,,KATSEYE; fakemink; Joost; Jessica Brankka; Youna,https://image-cdn-fa.spotifycdn.com/image/ab6761610000517478e45cfa4697ce3c437cb455,Spotify oEmbed thumbnail_url,,Manchild | Espresso | Please Please Please | Tears | When Did You Get Hot?,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
The xx,https://open.spotify.com/artist/3iOvXCl6edW5Um0fXEBRXy,Friday,Indie / Synth Pop,"First announced show since 2018. Reunion set — moody, minimal, perfect for after dark.",Intro|Crystalised|Islands|VCR|Infinity|Angels|Basic Space|Reunion|On Hold|I Dare You|Dangerous|Shelter|Night Time|Stars|Lips,15,Intro|Crystalised|Islands|VCR|Infinity|Angels|Basic Space|Reunion|On Hold|I Dare You|Dangerous|Shelter|Night Time|Stars|Lips,,,,Ethel Cain; Joyce Manor; CMAT; SOMBR; Alex G,https://image-cdn-fa.spotifycdn.com/image/ab676161000051743a96db4736ef035e1fcb2516,Spotify oEmbed thumbnail_url,,Intro | Crystalised | Islands | Angels | VCR,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Nine Inch Noize,https://open.spotify.com/artist/0X380XXQSNBYuleKzav5UO,Friday,Industrial / Electronic,NIN + Boys Noize as one act — extended version of the Peel It Back Tour dance set.,Right Where It Belongs|Ruiner|Piggy (Nothing Can Stop Me Now)|Wish|March of the Pigs|Reptile|Heresy|Copy of A|Gave Up|Vessel|Came Back Haunted|Mr. Self Destruct|Closer|The Hand That Feeds|Head Like a Hole|As Alive as You Need Me to Be,16,Right Where It Belongs|Ruiner|Piggy (Nothing Can Stop Me Now)|Wish|March of the Pigs|Reptile|Heresy|Copy of A|Gave Up|Vessel|Came Back Haunted|Mr. Self Destruct|Closer|The Hand That Feeds|Head Like a Hole|As Alive as You Need Me to Be,,,,Anyma presents Æden; Anyma; Disclosure; Moby; fakemink,https://image-cdn-fa.spotifycdn.com/image/ab67616100005174752fca27c5b839ea47d5100d,Spotify oEmbed thumbnail_url,Spotify URL resolves to Nine Inch Nails; image may represent one act within the combined billing.,Closer | The Hand That Feeds | As Alive As You Need Me To Be | Head Like A Hole | Every Day Is Exactly The Same,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Disclosure,https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et,Friday,UK House / Electronic,New material leans UK garage / two-step. Club-ready set.,F for You|When a Fire Starts to Burn|Holding On|Latch|White Noise|In My Arms|Douha (Mali Mali)|ENERGY|No Cap|She's Gone Dance On|Tondo|one2three|Simply Won't Do|Waterfall|Help Me Lose My Mind,15,F for You|When a Fire Starts to Burn|Holding On|Latch|White Noise|In My Arms|Douha (Mali Mali)|ENERGY|No Cap|She's Gone Dance On|Tondo|one2three|Simply Won't Do|Waterfall|Help Me Lose My Mind,,,,Groove Armada; Mahmut Orhan; Marlon Hoffstadt; Zerb; Nine Inch Noize,https://image-cdn-ak.spotifycdn.com/image/ab676161000051743faf416d3be99d63fec18baa,Spotify oEmbed thumbnail_url,,"Latch | You & Me - Rivo Remix | You & Me - Flume Remix | Talk | She’s Gone, Dance On",Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Turnstile,https://open.spotify.com/artist/2qnpHrOzdmOo1S4ox3j17x,Friday,Hardcore / Alt Rock,Never Enough Tour. Energy is unmatched. Mosher's paradise.,HOLIDAY|BLACKOUT|NEW HEART DESIGN|FLY AGAIN|MYSTERY|ENDLESS|T.L.C.|UNDERWATER BOI|DON'T PLAY|DROP|GLOW ON|ALIEN LOVE CALL|BIG SMILE|REAL THING|FAZED OUT,15,HOLIDAY|BLACKOUT|NEW HEART DESIGN|FLY AGAIN|MYSTERY|ENDLESS|T.L.C.|UNDERWATER BOI|DON'T PLAY|DROP|GLOW ON|ALIEN LOVE CALL|BIG SMILE|REAL THING|FAZED OUT,,,,Febuary; Ceremony; Suicidal Tendencies; DRAIN; Interpol,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174a4c3fd0017b42344516dc16c,Spotify oEmbed thumbnail_url,,BIRDS | NEVER ENOUGH | BLACKOUT | I CARE | SEEIN’ STARS,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Ethel Cain,https://open.spotify.com/artist/0avMDS4HyoCEP6RqZJWpY2,Friday,Southern Gothic / Indie,"Willoughby Tucker Forever Tour — hauntingly beautiful, not to be missed at sunset.",Willoughby's Theme|Janie|Fuck Me Eyes|Nettles|Willoughby's Interlude|Dust Bowl|Vacillator|Onanist|A Knock at the Door|Radio Towers|Tempest|Waco Texas|American Teenager|Crush|Thoroughfare,15,Willoughby's Theme|Janie|Fuck Me Eyes|Nettles|Willoughby's Interlude|Dust Bowl|Vacillator|Onanist|A Knock at the Door|Radio Towers|Tempest|Waco Texas|American Teenager|Crush|Thoroughfare,,,,The xx; Joyce Manor; CMAT; SOMBR; Alex G,https://image-cdn-ak.spotifycdn.com/image/ab676161000051743bbecf739fb7198dffd61795,Spotify oEmbed thumbnail_url,,Crush | Strangers | American Teenager | Sun Bleached Flies | Nettles,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Dijon,https://open.spotify.com/artist/0knGpCTbmG4ctl1wzYRZs4,Friday,R&B / Indie Pop,"Triumphant Coachella debut — gorgeous, understated, brilliant songs.",Rodeo Clown|Baby!|Another Baby!|HIGHER!|(Freak It)|Yamaha|FIRE!|The Dress|(Referee)|Rewind|Talk Down|jesse|my man|loyal & marie|Many Times|Automatic|Kindalove,17,Rodeo Clown|Baby!|Another Baby!|HIGHER!|(Freak It)|Yamaha|FIRE!|The Dress|(Referee)|Rewind|Talk Down|jesse|my man|loyal & marie|Many Times|Automatic|Kindalove,,,,Foster the People; Lykke Li; The Two Lips; flowerovlove; Youna,https://image-cdn-fa.spotifycdn.com/image/ab6761610000517473479e6db034c4a43d4aee04,Spotify oEmbed thumbnail_url,,The Dress | DEVOTION | Talk Down | Skin | Yamaha,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Teddy Swims,https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump,Friday,Soul / R&B,Lose Control was one of the biggest songs of 2024. Powerful live vocals.,Lose Control|I Can't Make You Love Me|Bed on Fire|Bad Dreams|The Door|Bones|Tent Revival|Constantly|Think About You|Someone Out There,10,Lose Control|I Can't Make You Love Me|Bed on Fire|Bad Dreams|The Door|Bones|Tent Revival|Constantly|Think About You|Someone Out There,,,,GIVĒON; Dijon; Youna; Justin Bieber; Swae Lee,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174f9cf783eb03eb66aa43943ba,Spotify oEmbed thumbnail_url,,Lose Control | The Door | Bad Dreams | Gone Gone Gone | You're Still The One,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
KATSEYE,https://open.spotify.com/artist/3c0gDdb9lhnHGFtP4prQpn,Friday,K-Pop / Pop,Girl group Coachella debut — global pop's newest powerhouse.,Touch|Debut|Sugar Rush|Gnarly|Perfect 10|I Am the Best|Wonderwall|Beautiful,8,Touch|Debut|Sugar Rush|Gnarly|Perfect 10|I Am the Best|Wonderwall|Beautiful,,,,Sabrina Carpenter; fakemink; BINI; Joost; Jessica Brankka,https://image-cdn-ak.spotifycdn.com/image/ab67616100005174484e326315e09b3f382a7960,Spotify oEmbed thumbnail_url,,Gabriela | Gnarly | Internet Girl | Touch | Gameboy,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
Devo,https://open.spotify.com/artist/0UKfenbZb15sqhfPC6zbt3,Friday,New Wave / Post-Punk,Iconic 80s new-wave icons. Whip It. Full flower-pot hats expected.,Whip It|Gates of Steel|Mongoloid|Jocko Homo|Gut Feeling|Devo Corporate Anthem|(I Can't Get No) Satisfaction|Beautiful World|Uncontrollable Urge|Peek-A-Boo,10,Whip It|Gates of Steel|Mongoloid|Jocko Homo|Gut Feeling|Devo Corporate Anthem|(I Can't Get No) Satisfaction|Beautiful World|Uncontrollable Urge|Peek-A-Boo,,,,Interpol; Geese; Ceremony; Lambrini Girls; Die Spitz,https://i.scdn.co/image/0ba95675f8943fee4246336bb428b32103ece647,Spotify oEmbed thumbnail_url,,Whip It | Uncontrollable Urge | Girl U Want - 2009 Remaster | Puppet Boy | (I Can't Get No) Satisfaction,Spotify artist embed top tracks,Top 5 pulled from linked Spotify artist embed; ranking may include features/remixes.
