Day,Date,Stage,Artist,Start_Time,End_Time
Friday,2026-04-10,Coachella Stage,Record Safari,4:15 PM,5:30 PM
Friday,2026-04-10,Coachella Stage,Teddy Swims,5:30 PM,7:00 PM
Friday,2026-04-10,Coachella Stage,The xx,7:00 PM,9:05 PM
Friday,2026-04-10,Coachella Stage,Sabrina Carpenter,9:05 PM,12:00 AM
Friday,2026-04-10,Coachella Stage,Anyma,12:00 AM,1:30 AM
Saturday,2026-04-11,Coachella Stage,Jaqck Glam,4:15 PM,5:30 PM
Saturday,2026-04-11,Coachella Stage,Addison Rae,5:30 PM,7:00 PM
Saturday,2026-04-11,Coachella Stage,Giveon,7:00 PM,9:00 PM
Saturday,2026-04-11,Coachella Stage,The Strokes,9:00 PM,11:25 PM
Saturday,2026-04-11,Coachella Stage,Justin Bieber,11:25 PM,12:55 AM
Sunday,2026-04-12,Coachella Stage,Gabe Real,2:45 PM,3:40 PM
Sunday,2026-04-12,Coachella Stage,Tijuana Panthers,3:40 PM,4:45 PM
Sunday,2026-04-12,Coachella Stage,Wet Leg,4:45 PM,6:10 PM
Sunday,2026-04-12,Coachella Stage,Major Lazer,6:10 PM,7:50 PM
Sunday,2026-04-12,Coachella Stage,Young Thug,7:50 PM,9:55 PM
Sunday,2026-04-12,Coachella Stage,Karol G,9:55 PM,11:25 PM
Friday,2026-04-10,Outdoor Theater,Tiffany Tyson,2:50 PM,4:00 PM
Friday,2026-04-10,Outdoor Theater,Dabeull,4:00 PM,5:20 PM
Friday,2026-04-10,Outdoor Theater,Lykke Li,5:20 PM,6:40 PM
Friday,2026-04-10,Outdoor Theater,Dijon,6:40 PM,8:05 PM
Friday,2026-04-10,Outdoor Theater,Turnstile,8:05 PM,10:35 PM
Friday,2026-04-10,Outdoor Theater,Disclosure,10:35 PM,12:05 AM
Saturday,2026-04-11,Outdoor Theater,Blondshell,2:40 PM,3:55 PM
Saturday,2026-04-11,Outdoor Theater,Los Hermanos Flores,3:55 PM,5:10 PM
Saturday,2026-04-11,Outdoor Theater,Alex G,5:10 PM,7:05 PM
Saturday,2026-04-11,Outdoor Theater,Sombr,7:05 PM,8:30 PM
Saturday,2026-04-11,Outdoor Theater,Labrinth,8:30 PM,10:20 PM
Saturday,2026-04-11,Outdoor Theater,David Byrne,10:20 PM,11:50 PM
Sunday,2026-04-12,Outdoor Theater,Juicewon,3:00 PM,4:00 PM
Sunday,2026-04-12,Outdoor Theater,Gigi Perez,4:00 PM,5:15 PM
Sunday,2026-04-12,Outdoor Theater,Clipse,5:15 PM,6:45 PM
Sunday,2026-04-12,Outdoor Theater,Foster the People,6:45 PM,8:40 PM
Sunday,2026-04-12,Outdoor Theater,Laufey,8:40 PM,10:30 PM
Sunday,2026-04-12,Outdoor Theater,Bigbang,10:30 PM,12:00 AM
Friday,2026-04-10,Sahara,Massio,2:30 PM,3:45 PM
Friday,2026-04-10,Sahara,Youna,3:45 PM,4:50 PM
Friday,2026-04-10,Sahara,Hugel,4:50 PM,6:15 PM
Friday,2026-04-10,Sahara,Marlon Hoffstadt,6:15 PM,8:00 PM
Friday,2026-04-10,Sahara,Katseye,8:00 PM,9:15 PM
Friday,2026-04-10,Sahara,Levity,9:15 PM,10:50 PM
Friday,2026-04-10,Sahara,Swae Lee,10:50 PM,12:05 AM
Friday,2026-04-10,Sahara,Sexyy Red,12:05 AM,1:20 AM
Saturday,2026-04-11,Sahara,Seek-One,2:00 PM,2:50 PM
Saturday,2026-04-11,Sahara,TEED,2:50 PM,4:00 PM
Saturday,2026-04-11,Sahara,Zulan,4:00 PM,5:00 PM
Saturday,2026-04-11,Sahara,Hamdi,5:00 PM,6:15 PM
Saturday,2026-04-11,Sahara,YOUSUKE YUKIMATSU,6:15 PM,8:00 PM
Saturday,2026-04-11,Sahara,Nine Inch Noize,8:00 PM,9:10 PM
Saturday,2026-04-11,Sahara,Rezz,9:10 PM,10:30 PM
Saturday,2026-04-11,Sahara,Adriatique,10:30 PM,11:55 PM
Saturday,2026-04-11,Sahara,Worship,11:55 PM,1:25 AM
Sunday,2026-04-12,Sahara,Loboman,2:30 PM,3:35 PM
Sunday,2026-04-12,Sahara,Girl Math (Vnssa X Nala),3:35 PM,4:45 PM
Sunday,2026-04-12,Sahara,Bunt.,4:45 PM,6:10 PM
Sunday,2026-04-12,Sahara,Duke Dumont,6:10 PM,7:25 PM
Sunday,2026-04-12,Sahara,Mochakk,7:25 PM,9:05 PM
Sunday,2026-04-12,Sahara,Subtronics,9:05 PM,10:45 PM
Sunday,2026-04-12,Sahara,Kaskade,10:45 PM,12:15 AM
Friday,2026-04-10,Mojave,Novasoul,2:00 PM,3:00 PM
Friday,2026-04-10,Mojave,Slayyyter,3:00 PM,4:15 PM
Friday,2026-04-10,Mojave,Bini,4:15 PM,5:30 PM
Friday,2026-04-10,Mojave,Central Cee,5:30 PM,6:45 PM
Friday,2026-04-10,Mojave,Devo,6:45 PM,8:10 PM
Friday,2026-04-10,Mojave,Moby,8:10 PM,10:35 PM
Friday,2026-04-10,Mojave,Ethel Cain,10:35 PM,11:55 PM
Friday,2026-04-10,Mojave,Blood Orange,11:55 PM,1:10 AM
Saturday,2026-04-11,Mojave,Jack White,3:00 PM,4:30 PM
Saturday,2026-04-11,Mojave,Fujii Kaze,4:30 PM,5:50 PM
Saturday,2026-04-11,Mojave,Royel Otis,5:50 PM,7:30 PM
Saturday,2026-04-11,Mojave,Taemin,7:30 PM,8:55 PM
Saturday,2026-04-11,Mojave,PinkPantheress,8:55 PM,10:15 PM
Saturday,2026-04-11,Mojave,Interpol,10:15 PM,11:30 PM
Sunday,2026-04-12,Mojave,Wyldeflower,2:30 PM,3:15 PM
Sunday,2026-04-12,Mojave,Samia,3:15 PM,4:25 PM
Sunday,2026-04-12,Mojave,Little Simz,4:25 PM,5:35 PM
Sunday,2026-04-12,Mojave,Suicidal Tendencies,5:35 PM,7:10 PM
Sunday,2026-04-12,Mojave,Iggy Pop,7:10 PM,8:45 PM
Sunday,2026-04-12,Mojave,FKA twigs,8:45 PM,10:15 PM
Friday,2026-04-10,Gobi,Cahuilla Bird Singers and Dancers,2:15 PM,2:55 PM
Friday,2026-04-10,Gobi,Bob Baker Marionettes,2:55 PM,4:00 PM
Friday,2026-04-10,Gobi,Newdad,4:00 PM,5:10 PM
Friday,2026-04-10,Gobi,Joyce Manor,5:10 PM,6:15 PM
Friday,2026-04-10,Gobi,Cmat,6:15 PM,7:20 PM
Friday,2026-04-10,Gobi,Fakemink,7:20 PM,8:25 PM
Friday,2026-04-10,Gobi,Holly Humberstone,8:25 PM,9:50 PM
Friday,2026-04-10,Gobi,Joost,9:50 PM,11:05 PM
Friday,2026-04-10,Gobi,Creepy Nuts,11:05 PM,12:20 AM
Saturday,2026-04-11,Gobi,Noga Erez,2:05 PM,4:05 PM
Saturday,2026-04-11,Gobi,Whatmore,4:05 PM,5:10 PM
Saturday,2026-04-11,Gobi,Luisa Sonza,5:10 PM,6:15 PM
Saturday,2026-04-11,Gobi,Geese,6:15 PM,7:50 PM
Saturday,2026-04-11,Gobi,Davido,7:50 PM,9:00 PM
Saturday,2026-04-11,Gobi,Bia,9:00 PM,10:10 PM
Saturday,2026-04-11,Gobi,Morat,10:10 PM,11:25 PM
Sunday,2026-04-12,Gobi,Flowerovlove,2:05 PM,3:00 PM
Sunday,2026-04-12,Gobi,The Chats,3:00 PM,4:05 PM
Sunday,2026-04-12,Gobi,Cobrah,4:05 PM,5:15 PM
Sunday,2026-04-12,Gobi,Oklou,5:15 PM,6:30 PM
Sunday,2026-04-12,Gobi,Black Flag,6:30 PM,7:45 PM
Sunday,2026-04-12,Gobi,Tomora,7:45 PM,9:05 PM
Sunday,2026-04-12,Gobi,The Rapture,9:05 PM,10:20 PM
Friday,2026-04-10,Sonora,Doom Dave,1:00 PM,1:40 PM
Friday,2026-04-10,Sonora,Febuary,1:40 PM,2:35 PM
Friday,2026-04-10,Sonora,Carolina Durante,2:35 PM,3:40 PM
Friday,2026-04-10,Sonora,Wednesday,3:40 PM,4:50 PM
Friday,2026-04-10,Sonora,Fleshwater,4:50 PM,6:00 PM
Friday,2026-04-10,Sonora,The Two Lips,6:00 PM,7:10 PM
Friday,2026-04-10,Sonora,Ninajirachi,7:10 PM,8:25 PM
Friday,2026-04-10,Sonora,Cachirula & Loojan,8:25 PM,10:00 PM
Friday,2026-04-10,Sonora,Hot Mulligan,10:00 PM,11:50 PM
Friday,2026-04-10,Sonora,Not for Radio,11:50 PM,1:20 AM
Saturday,2026-04-11,Sonora,Triste Juventud,1:00 PM,2:00 PM
Saturday,2026-04-11,Sonora,Die Spitz,2:00 PM,3:10 PM
Saturday,2026-04-11,Sonora,Freak Slug,3:10 PM,4:20 PM
Saturday,2026-04-11,Sonora,Ecca Vandal,4:20 PM,5:30 PM
Saturday,2026-04-11,Sonora,Ceremony,5:30 PM,6:40 PM
Saturday,2026-04-11,Sonora,Rusowsky,6:40 PM,7:50 PM
Saturday,2026-04-11,Sonora,54 Ultra,7:50 PM,9:45 PM
Saturday,2026-04-11,Sonora,Mind Enterprises,9:45 PM,11:00 PM
Sunday,2026-04-12,Sonora,Panda & Chok,1:00 PM,2:00 PM
Sunday,2026-04-12,Sonora,Glitterer,2:00 PM,3:10 PM
Sunday,2026-04-12,Sonora,Model/Actriz,3:10 PM,4:20 PM
Sunday,2026-04-12,Sonora,Jane Remover,4:20 PM,5:30 PM
Sunday,2026-04-12,Sonora,Los Retros,5:30 PM,6:40 PM
Sunday,2026-04-12,Sonora,Roz,6:40 PM,8:00 PM
Sunday,2026-04-12,Sonora,Drain,8:00 PM,9:10 PM
Sunday,2026-04-12,Sonora,French Police,9:10 PM,10:25 PM
Friday,2026-04-10,Yuma,Sahar Z,1:00 PM,1:45 PM
Friday,2026-04-10,Yuma,Jessica Brankka,1:45 PM,2:45 PM
Friday,2026-04-10,Yuma,Arodes,2:45 PM,3:45 PM
Friday,2026-04-10,Yuma,Groove Armada,3:45 PM,4:45 PM
Friday,2026-04-10,Yuma,Rossi. x Chloe Caillet,4:45 PM,6:00 PM
Friday,2026-04-10,Yuma,Kettama,6:00 PM,7:15 PM
Friday,2026-04-10,Yuma,Prospa,7:15 PM,8:30 PM
Friday,2026-04-10,Yuma,Max Dean x Luke Dean,8:30 PM,9:45 PM
Friday,2026-04-10,Yuma,Max Styler,9:45 PM,11:15 PM
Friday,2026-04-10,Yuma,Gordo,11:15 PM,12:30 AM
Saturday,2026-04-11,Yuma,Yamagucci,1:00 PM,2:00 PM
Saturday,2026-04-11,Yuma,Genesi,2:00 PM,3:00 PM
Saturday,2026-04-11,Yuma,Riordan,3:00 PM,4:15 PM
Saturday,2026-04-11,Yuma,Mahmut Orhan,4:15 PM,5:30 PM
Saturday,2026-04-11,Yuma,Ben Sterling,5:30 PM,6:45 PM
Saturday,2026-04-11,Yuma,Sosa,6:45 PM,8:15 PM
Saturday,2026-04-11,Yuma,Bedouin,8:15 PM,9:45 PM
